date,temp_c,humidity_pct,rain_mm
2026-05-01,29.7,76,0.0
2026-05-02,27.7,72,11.0
2026-05-03,28.5,60,1.7
2026-05-04,24.6,65,0.7
2026-05-05,30.8,79,0
2026-05-06,33.1,68,0.0
2026-05-07,36.6,68,11.1
2026-05-08,24.5,76,5.5
2026-05-09,31.4,79,9.7
2026-05-10,29.8,82,0.0
2026-05-11,30.2,74,0.0
2026-05-12,30.8,57,2.6
2026-05-13,27.5,71,2.7
2026-05-14,34.1,60,0.0
2026-05-15,32.2,74,11.9
2026-05-16,32.9,79,0.0
2026-05-17,30.6,71,0.0
2026-05-18,30.2,52,5.6
2026-05-19,29.5,67,0.5
2026-05-20,30.5,61,2.9
2026-05-21,30.5,73,2.8
2026-05-22,32.5,63,0
2026-05-23,27.5,71,2.6
2026-05-24,34.3,77,0
2026-05-25,35.2,62,0.0
2026-05-26,36.1,65,0
2026-05-27,23.0,76,0.0
2026-05-28,27.2,76,0.0
2026-05-29,30.7,78,0.0
2026-05-30,29.2,81,3.0
